fill_id,timestamp,time_total,lumi_total,lumi_logged,inefficiency,hvon_lost,veloin_lost,running_lost,ontape_lost
6259,2017-10-01 12:47:49,45422.287,12831567.28,11675999.86,9.01,0.01,0.11,0.88,8.08
6258,2017-09-30 21:08:57,46283.698,13204971.11,11705357.37,11.36,2.83,0.13,0.44,8.25
6255,2017-09-30 00:16:32,60584.393,17315852.31,15629440.51,9.74,0.62,0.25,0.89,8.14
6253,2017-09-29 04:10:48,49378.905,14230492.33,12486420.53,12.26,0.05,1.01,3.24,8.35
6252,2017-09-28 11:21:38,45918.943,13106093.62,11973641.16,8.64,0.03,0.07,0.48,8.11
6247,2017-09-27 16:05:11,25283.968,7288110.839,6472194.514,11.2,0.24,2.57,0.44,8.23
6245,2017-09-27 03:02:26,44156.395,12677078.02,11315755.16,10.74,0.04,1.3,1.58,8.08
6243,2017-09-26 10:05:40,46643.031,13299007.07,11899529.28,10.52,1.83,0.0,0.75,8.17
6241,2017-09-25 16:44:10,46605.391,13355688.2,12155002.68,8.99,0.04,0.28,0.42,8.32
6240,2017-09-25 01:17:28,43555.096,12482242.1,11331858.47,9.22,0.05,0.14,0.46,8.62
6239,2017-09-24 10:50:08,21254.823,5106646.252,4675546.589,8.44,0.11,0.59,0.87,6.99
6238,2017-09-24 02:38:10,20769.533,2405481.438,1960934.146,18.48,0.01,0.07,15.51,3.43
6236,2017-09-23 17:47:33,12384.234,76931.0939,68301.13,11.22,0.17,0.58,7.46,3.33
6193,2017-09-13 05:36:53,19031.428,5514982.74,5004869.654,9.25,0.13,0.61,0.3,8.3
6192,2017-09-12 21:41:16,11940.714,3440831.606,3064192.595,10.95,0.1,1.16,1.04,8.86
6191,2017-09-12 15:42:18,44473.603,12854698.01,11733599.79,8.72,0.07,0.3,0.41,8.0
6189,2017-09-11 18:32:49,47106.07,13563105.31,12346195.18,8.97,0.04,0.34,0.69,7.99
6186,2017-09-10 21:06:04,42892.152,12178331.04,10593340.05,13.01,1.97,0.0,3.56,7.99
6185,2017-09-10 06:29:51,9109.236,2628547.791,2318076.41,11.81,0.3,2.08,1.36,8.41
6182,2017-09-09 18:47:08,33985.269,9899842.539,8499935.202,14.14,0.07,0.31,5.76,8.54
6180,2017-09-09 04:39:14,1290.082,352072.504,253593.5354,27.97,2.19,9.65,10.96,8.46
6179,2017-09-09 01:20:08,1438.956,384715.6778,312877.4455,18.67,2.33,8.13,1.22,8.24
6177,2017-09-08 20:15:32,43902.423,12241143.16,9447216.565,22.82,4.81,0.95,11.01,8.02
6176,2017-09-08 05:20:48,7337.279,2075106.286,1864886.213,10.13,0.17,0.46,1.83,7.88
6175,2017-09-08 01:05:22,41966.143,12171071.51,10486236.92,13.84,1.82,1.08,3.42,8.16
6174,2017-09-07 11:11:01,44593.95,12951206.78,11865824.04,8.38,0.03,0.2,0.37,7.83
6171,2017-09-06 12:05:56,29371.566,8606414.339,7973396.244,7.36,0.05,0.12,3.23,4.1
6170,2017-09-06 01:17:30,16300.308,5179699.056,4902853.371,5.34,0.07,0.32,0.52,4.48
6169,2017-09-05 17:59:58,24251.049,7473552.851,6441856.011,13.8,0.04,0.3,4.23,9.69
6168,2017-09-05 08:21:58,16431.901,4056733.107,3746605.265,7.64,0.06,0.51,0.45,6.7
6167,2017-09-05 01:12:29,19821.13,4103990.98,3799039.325,7.43,0.1,0.75,0.35,6.31
6165,2017-09-04 11:08:28,37468.925,7837172.706,7436887.724,5.11,0.05,0.29,0.59,4.22
6161,2017-09-03 16:30:11,39564.161,10999146.04,10393493.9,5.51,0.1,0.34,0.89,4.24
6160,2017-09-02 19:09:18,22981.034,5525261.802,5254919.726,4.89,0.1,0.25,0.35,4.23
6159,2017-09-02 10:03:07,16500.562,3964518.975,3599072.104,9.22,0.13,0.68,4.41,4.26
6158,2017-09-02 02:22:32,20663.923,4299976.515,4025220.07,6.39,0.09,0.58,1.64,4.18
6156,2017-09-01 14:08:30,30973.091,6482020.811,6161763.41,4.94,0.04,0.32,0.39,4.22
6155,2017-09-01 03:19:49,2586.393,540882.8041,492400.2216,8.96,0.52,4.1,0.28,4.31
6152,2017-08-31 20:16:40,21555.579,4514822.221,4037565.991,10.57,1.34,0.47,4.91,4.24
6147,2017-08-30 23:09:41,51710.681,14279894.09,13135536.23,8.01,0.72,0.25,2.83,4.41
6146,2017-08-30 06:01:34,1297.681,329516.422,275739.2665,16.32,1.84,10.35,0.67,4.28
6143,2017-08-29 22:30:44,49001.151,13625796.99,12793774.96,6.11,1.19,0.28,0.42,4.31
6142,2017-08-29 06:23:53,51109.366,14154908.47,13447442.18,5.0,0.05,0.26,0.46,4.27
6141,2017-08-28 13:28:24,3996.652,1111614.509,1004818.186,9.61,0.88,3.51,1.28,4.27
6140,2017-08-28 09:52:01,48582.982,13496135.2,12795695.88,5.19,0.05,0.17,0.79,4.22
6138,2017-08-27 15:01:08,12608.374,2646179.244,2491388.269,5.85,0.18,1.03,0.54,4.18
6136,2017-08-26 21:06:21,18628.049,3245219.36,3060393.144,5.7,0.2,0.84,0.55,4.18
6123,2017-08-24 06:49:28,1622.94,540702.7738,503917.184,6.8,0.38,1.64,0.12,4.77
6119,2017-08-23 20:17:26,21260.969,6424573.25,6092680.59,5.17,0.07,0.01,0.86,4.27
6116,2017-08-23 07:06:24,20736.653,6531295.196,6198360.626,5.1,0.02,0.31,0.44,4.36
6114,2017-08-22 13:06:17,8438.663,2644461.648,2508940.968,5.12,0.03,0.08,0.68,4.38
6110,2017-08-22 03:14:36,43329.008,13410850.89,12708131.35,5.24,0.6,0.07,0.33,4.29
6106,2017-08-21 04:51:54,45654.094,14163753.43,13344457.74,5.78,0.97,0.19,0.4,4.29
6105,2017-08-20 04:36:11,13000.489,4085925.927,3854775.035,5.66,0.03,0.26,0.94,4.49
6104,2017-08-19 22:19:39,32901.681,9035432.012,8486084.513,6.08,1.04,0.2,0.63,4.3
6098,2017-08-18 16:50:50,7825.613,2739379.719,2305342.326,15.84,0.09,0.77,10.79,4.84
6097,2017-08-18 11:37:51,42919.266,13310763.85,12378864.88,7.0,0.77,0.14,1.36,4.85
6096,2017-08-17 20:48:50,11548.5,3561774.134,3367707.843,5.45,0.05,0.14,0.99,4.32
6094,2017-08-17 14:58:43,6760.237,2104672.145,1986881.179,5.6,0.1,1.06,0.21,4.28
6093,2017-08-17 09:40:42,7829.397,2447865.121,2313667.776,5.48,0.1,0.77,0.36,4.31
6091,2017-08-17 02:35:25,22516.064,6935426.714,6453795.834,6.94,0.04,0.07,1.77,5.16
6090,2017-08-16 17:08:57,21540.634,5969343.1,5474751.904,8.29,0.03,0.28,1.63,6.47
6089,2017-08-16 07:45:02,23914.699,5694311.09,5364842.504,5.79,0.03,0.39,1.21,4.23
6086,2017-08-15 12:44:34,10055.402,2390390.896,2271670.544,4.97,0.09,0.25,0.4,4.26
6084,2017-08-15 05:37:33,21629.81,4484884.39,4233636.494,5.6,0.05,0.53,0.82,4.27
6082,2017-08-14 20:11:16,21713.75,3720570.147,3533633.454,5.02,0.03,0.1,0.82,4.12
6079,2017-08-14 05:35:09,7339.744,746950.0941,675132.4023,9.61,4.13,1.38,0.4,4.02
6072,2017-08-12 04:02:26,1849.914,178792.0662,149541.962,16.36,0.75,4.69,7.91,3.98
6061,2017-08-10 09:09:32,33860.656,14801249.69,12383851.53,16.33,0.11,0.79,9.38,6.83
6060,2017-08-09 21:06:07,51578.127,22353009.64,20941666.09,6.31,0.03,0.09,0.7,5.54
6057,2017-08-08 21:01:04,7299.441,3317726.227,2986351.078,9.99,0.25,1.32,1.89,6.79
6055,2017-08-08 13:42:08,3473.152,1371810.358,1252022.675,8.73,1.0,1.71,0.37,5.86
6054,2017-08-08 09:37:28,57895.592,24279279.76,22719022.29,6.43,0.04,0.21,1.01,5.24
6053,2017-08-07 13:55:12,32715.88,13727171.12,12905043.07,5.99,0.03,0.07,0.57,5.36
6052,2017-08-06 22:36:45,48947.463,20615518.5,19276884.49,6.49,0.67,0.08,0.7,5.13
6050,2017-08-06 04:34:43,52481.242,22187960.29,20421735.65,7.96,1.75,0.23,0.91,5.24
6048,2017-08-05 10:46:09,4492.207,1859303.091,1689268.586,9.15,0.21,1.84,1.57,5.77
6046,2017-08-05 04:20:39,50712.891,21931701.96,17313607.11,21.06,0.01,2.37,14.77,5.12
6044,2017-08-04 08:17:36,41515.09,16991575.15,15901618.61,6.41,0.01,0.03,1.2,5.24
6041,2017-08-03 16:34:42,8593.777,3508862.886,3220541.422,8.22,0.06,0.17,2.7,5.46
6035,2017-08-02 17:27:39,38605.701,16268459.45,14880580.95,8.53,0.01,0.08,3.27,5.35
6031,2017-08-01 14:33:28,51982.723,21874902.79,19952586.01,8.79,0.02,2.14,1.71,5.15
6030,2017-07-31 21:40:58,9540.229,4070048.268,3771646.657,7.33,0.06,0.36,1.22,5.79
6026,2017-07-31 12:25:03,56202.849,23669778.77,22340764.36,5.61,0.01,0.1,0.46,5.08
6024,2017-07-30 15:45:53,57860.749,24219851.56,22390575.09,7.55,0.02,0.16,2.41,5.1
6021,2017-07-29 18:58:47,846.496,293849.2053,233363.4327,20.58,1.44,12.67,1.91,5.93
6020,2017-07-29 15:16:20,3887.766,1688132.782,1525616.801,9.63,0.42,2.75,0.75,5.97
6019,2017-07-29 11:46:08,12233.497,1227479.902,1171725.245,4.54,0.04,0.29,0.28,3.96
6018,2017-07-29 02:03:57,670.65,48968.1842,34149.1644,30.26,1.69,24.97,1.67,3.85
6016,2017-07-28 22:07:54,58493.889,47143.5159,46778.2058,0.77,0.0,0.32,0.37,0.09
6015,2017-07-28 03:31:50,502.951,235.1301,81.5182,65.33,12.57,58.61,4.16,0.03
6012,2017-07-27 22:24:50,29233.682,41680.9104,36778.4124,11.76,0.21,3.88,7.8,0.23
5984,2017-07-24 05:55:47,7345.752,3041386.814,2537273.703,16.58,6.51,0.77,2.44,7.83
5980,2017-07-22 20:18:22,23916.445,2738919.881,2702436.573,1.33,0.0,0.07,0.66,0.6
5979,2017-07-22 08:22:28,47927.91,20186843.66,18548365.56,8.12,1.08,0.03,1.05,6.1
5976,2017-07-21 06:03:45,55339.322,23461498.72,19547057.3,16.68,0.03,6.6,4.21,6.85
5974,2017-07-20 06:56:30,1221.607,290761.7831,0.0,100.0,1.97,100.0,0,0
5971,2017-07-20 02:40:43,2916.791,1288909.369,997861.8172,22.58,1.13,4.62,11.81,6.91
5966,2017-07-19 14:23:17,1248.733,403505.2532,348510.5103,13.63,2.02,5.86,0.87,5.54
5965,2017-07-19 11:26:46,7398.39,3134106.42,2001113.084,36.15,0.27,0.68,29.01,9.19
5963,2017-07-19 06:18:25,6299.603,2402836.326,2183067.224,9.15,0.0,0.0,2.62,6.7
5962,2017-07-19 02:13:29,29124.032,11318196.39,10268526.87,9.27,0.05,0.18,2.51,6.72
5960,2017-07-18 11:32:10,16813.682,6238123.085,5772906.943,7.46,0.14,0.32,1.93,5.2
5958,2017-07-16 20:12:56,20947.813,7894864.935,6843098.593,13.32,0.2,0.73,6.51,6.41
5954,2017-07-16 06:32:32,10376.084,3880467.198,3384011.13,12.79,0.28,0.94,5.76,6.34
5952,2017-07-15 18:04:44,4660.209,1681632.549,1306876.801,22.29,14.47,4.03,0.41,4.94
5950,2017-07-15 13:13:23,36831.508,13148649.98,12017739.23,8.6,0.09,0.69,2.1,5.91
5946,2017-07-14 22:21:00,630.566,63641.1285,5666.3127,91.1,7.58,87.13,22.17,3.85
5942,2017-07-14 11:52:21,8227.128,1855329.617,1511331.756,18.54,1.59,3.39,9.48,5.35
5934,2017-07-12 09:58:59,16772.182,1521477.54,1233208.178,18.95,0.12,0.93,15.78,2.74
5930,2017-07-11 13:36:26,9689.273,58397.7412,43583.7896,25.37,0.02,0.07,22.18,4.01
5920,2017-07-10 04:24:05,9721.651,1134.8597,805.2747,29.04,6.58,3.02,21.68,0.0
5919,2017-07-09 21:05:37,639.052,0.0,0.0,0,0,0,0,0
5887,2017-06-30 02:28:58,14389.771,5930591.649,5596602.534,5.63,0.01,0.08,1.31,4.29
5885,2017-06-29 18:06:30,1042.853,231887.5044,218893.5679,5.6,0.04,0.58,0.06,4.96
5883,2017-06-29 13:51:41,20781.284,8558847.731,7876712.97,7.97,0.0,0.01,3.26,4.86
5882,2017-06-29 05:29:47,36109.477,14991618.76,14279876.73,4.75,0.02,0.26,0.68,3.83
5880,2017-06-28 14:00:57,6745.767,2774087.392,2498154.912,9.95,0.12,1.08,1.18,7.76
5878,2017-06-28 05:40:06,45684.887,17470648.04,16358280.32,6.37,0.02,0.18,0.33,5.88
5876,2017-06-27 12:05:57,38785.264,14668026.07,13627090.73,7.1,0.18,0.0,0.58,6.39
5873,2017-06-26 12:39:32,37379.143,14311180.05,13268953.06,7.28,0.02,0.21,1.34,5.81
5872,2017-06-26 00:03:51,59292.964,22676983.02,21067739.81,7.1,0.01,0.1,1.33,5.74
5870,2017-06-25 02:58:35,631.359,163947.768,133808.8404,18.38,1.09,11.44,1.48,5.42
5868,2017-06-24 23:29:17,6650.801,2370677.032,2211704.927,6.71,0.08,0.19,0.14,6.33
5865,2017-06-24 12:22:27,34867.297,12690622.72,12026267.87,5.24,0.03,0.07,0.31,4.85
5864,2017-06-23 21:37:48,21795.861,7682238.611,7216714.166,6.06,0.04,0.13,1.0,4.96
5862,2017-06-23 06:21:30,3512.07,1226328.261,1107785.195,9.67,0.27,1.86,0.61,7.14
5856,2017-06-22 14:33:58,43634.972,15209466.46,13575048.79,10.75,3.42,0.79,0.69,6.2
5849,2017-06-21 12:44:48,76581.824,25216294.0,22075885.92,12.45,2.28,2.2,3.33,5.24
5848,2017-06-20 11:13:09,55160.666,16128293.31,14445954.76,10.43,0.89,0.25,1.4,8.12
5845,2017-06-18 17:23:54,9803.22,2853357.911,2578618.347,9.63,0.26,1.13,0.28,8.1
5842,2017-06-18 07:20:17,35959.961,9299144.597,8447924.426,9.15,0.07,0.19,1.48,7.55
5840,2017-06-17 14:12:44,25968.735,5144997.128,4424513.874,14.0,0.09,0.55,5.42,8.49
5839,2017-06-17 03:53:11,23079.31,4453865.598,3636749.672,18.35,0.11,0.3,11.69,7.16
5838,2017-06-16 18:00:46,11180.819,2222009.466,1721401.907,22.53,0.45,1.6,16.26,5.56
5837,2017-06-16 12:31:46,41944.139,8228866.337,7329742.499,10.93,0.05,0.32,1.87,8.89
5834,2017-06-15 13:08:20,24415.639,3958232.667,3606665.635,8.88,1.01,0.94,0.45,6.65
5833,2017-06-15 01:50:33,13546.428,2230395.293,1978819.06,11.28,0.2,0.97,3.53,6.95
5830,2017-06-14 16:27:02,27699.469,4277176.76,2589023.406,39.47,5.99,15.91,14.23,10.71
5825,2017-06-13 02:19:45,2193.41,341819.2413,187376.1715,45.18,3.25,8.09,33.03,7.94
5824,2017-06-12 22:42:46,11870.645,1034328.73,309830.4353,70.05,11.39,39.99,37.4,10.02
5822,2017-06-12 12:47:41,4105.048,1322.7192,1078.2297,18.48,9.29,4.09,6.3,0.0
5750,2017-06-06 08:40:43,20652.881,2009191.304,1748461.239,12.98,0.66,2.41,1.1,9.24
5749,2017-06-05 23:28:35,993.36,227006.1681,0.0,100.0,6.7,100.0,0,0
5746,2017-06-05 12:29:13,38401.62,3756511.193,2451397.673,34.74,3.87,14.08,13.62,8.54
5737,2017-06-03 13:25:43,23079.391,1013524.417,855821.9362,15.56,5.0,3.88,5.74,1.89
5730,2017-05-31 02:24:21,55277.814,2378629.648,1831405.008,23.01,1.16,4.43,10.9,8.52
5722,2017-05-29 09:18:05,39191.43,1818141.7,1518197.212,16.5,0.23,0.91,7.72,8.47
5719,2017-05-28 13:10:47,15351.107,166666.148,148999.3371,10.6,0.69,1.48,0.48,8.19
5718,2017-05-28 04:13:39,29834.443,322842.3295,281802.0255,12.71,0.39,1.19,3.36,8.23
5717,2017-05-27 15:33:48,31309.9,329801.4462,238620.8778,27.65,1.72,3.39,18.91,6.03
5710,2017-05-26 08:53:30,20993.076,2262.073,1750.7049,22.61,5.46,5.89,12.58,0.49
5704,2017-05-25 09:57:30,21691.741,12182.5057,6682.1181,45.15,35.83,5.05,9.54,0.47
5699,2017-05-24 07:05:31,14438.389,5440.336,4870.6143,10.47,1.53,4.6,4.69,0.0
5698,2017-05-23 23:45:40,25989.67,11079.5906,6519.3294,41.16,27.58,10.61,9.11,0.0
